Saved times=69,loss=0.0401,accu=0.0798,lr=0.008155,decay=0.000002overfit rate = 0%
Saved times=70,loss=0.0392,accu=0.0800,lr=0.008130,decay=0.000002overfit rate = 0%
times=71,loss=0.0392,accu=0.0800,lr=0.008106,decay=0.000002overfit rate = 20%
times=72,loss=0.0392,accu=0.0800,lr=0.008082,decay=0.000002overfit rate = 30%
times=73,loss=0.0392,accu=0.0800,lr=0.008057,decay=0.000002overfit rate = 20%
times=74,loss=0.0392,accu=0.0800,lr=0.008033,decay=0.000002overfit rate = 5%
times=75,loss=0.0392,accu=0.0800,lr=0.008009,decay=0.000002overfit rate = 45%
times=76,loss=0.0392,accu=0.0800,lr=0.007985,decay=0.000002overfit rate = 15%
times=77,loss=0.0392,accu=0.0800,lr=0.007961,decay=0.000002overfit rate = 55%
times=78,loss=0.0392,accu=0.0800,lr=0.007937,decay=0.000002overfit rate = 70%
times=79,loss=0.0392,accu=0.0800,lr=0.007914,decay=0.000002overfit rate = 5%
times=80,loss=0.0392,accu=0.0800,lr=0.007890,decay=0.000002overfit rate = 45%
Saved times=81,loss=0.0372,accu=0.0802,lr=0.007866,decay=0.000002overfit rate = 0%
times=82,loss=0.0372,accu=0.0802,lr=0.007843,decay=0.000002overfit rate = 5%
times=83,loss=0.0372,accu=0.0802,lr=0.007819,decay=0.000002overfit rate = 5%
Saved times=84,loss=0.0363,accu=0.0800,lr=0.007796,decay=0.000002overfit rate = 0%
times=85,loss=0.0363,accu=0.0800,lr=0.007772,decay=0.000002overfit rate = 5%
times=86,loss=0.0363,accu=0.0800,lr=0.007749,decay=0.000002overfit rate = 15%
times=87,loss=0.0363,accu=0.0800,lr=0.007726,decay=0.000002overfit rate = 25%
Saved times=88,loss=0.0361,accu=0.0798,lr=0.007703,decay=0.000002overfit rate = 0%
Saved times=89,loss=0.0358,accu=0.0801,lr=0.007680,decay=0.000002overfit rate = 0%
times=90,loss=0.0358,accu=0.0801,lr=0.007657,decay=0.000002overfit rate = 35%
times=91,loss=0.0358,accu=0.0801,lr=0.007634,decay=0.000002overfit rate = 35%
times=92,loss=0.0358,accu=0.0801,lr=0.007611,decay=0.000002overfit rate = 20%
times=93,loss=0.0358,accu=0.0801,lr=0.007588,decay=0.000002overfit rate = 20%
Saved times=94,loss=0.0347,accu=0.0803,lr=0.007565,decay=0.000002overfit rate = 0%
times=95,loss=0.0347,accu=0.0803,lr=0.007543,decay=0.000002overfit rate = 40%
times=96,loss=0.0347,accu=0.0803,lr=0.007520,decay=0.000002overfit rate = 5%
Saved times=97,loss=0.0344,accu=0.0799,lr=0.007498,decay=0.000002overfit rate = 0%
times=98,loss=0.0344,accu=0.0799,lr=0.007475,decay=0.000002overfit rate = 10%
times=99,loss=0.0344,accu=0.0799,lr=0.007453,decay=0.000002overfit rate = 10%
times=100,loss=0.0344,accu=0.0799,lr=0.007430,decay=0.000002overfit rate = 70%
times=101,loss=0.0344,accu=0.0799,lr=0.007408,decay=0.000002overfit rate = 30%
times=102,loss=0.0344,accu=0.0799,lr=0.007386,decay=0.000002overfit rate = 55%
times=103,loss=0.0344,accu=0.0799,lr=0.007364,decay=0.000002overfit rate = 55%
